***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "20-29-42-23-08-2017"
}
---SESSION HEADER---
Time; Position; Rotation.X; Rotation.Y; FPS; Input;
73782.4321;(1.0000, 4.0000, 5.4000);67.1597;7.8459;Infinity;;
73782.4441;(1.0000, 4.0000, 5.4000);67.8000;9.7000;117.5560;;
73782.4566;(1.0000, 4.0000, 5.4000);67.8234;9.7000;121.8883;;
73782.4686;(1.0000, 4.0000, 5.4000);67.8395;9.7000;127.7886;;
73782.4746;(1.0000, 4.0000, 5.4000);67.8456;9.7000;131.5371;;
73782.4871;(1.0000, 4.0000, 5.4000);67.8568;9.7000;136.8129;;
73782.5001;(1.0000, 4.0000, 5.4000);67.8659;9.7000;140.8586;;
73782.5072;(1.0000, 4.0000, 5.4000);67.8698;9.7000;142.5629;;
73782.5192;(1.0000, 4.0000, 5.4000);67.8768;9.7000;143.1446;;
73782.5252;(1.0000, 4.0000, 5.4000);67.8792;9.7000;145.9628;;
73782.5377;(1.0000, 4.0000, 5.4000);67.8837;9.7000;147.5153;;
73782.5442;(1.0000, 4.0000, 5.4000);67.8855;9.7000;149.3010;;
73782.5567;(1.0000, 4.0000, 5.4000);67.8887;9.7000;150.1019;;
73782.5687;(1.0000, 4.0000, 5.4000);67.8910;9.7000;152.7908;;
73782.5747;(1.0000, 4.0000, 5.4000);67.8920;9.7106;154.4068;;
73782.5872;(1.0000, 4.0000, 5.4000);67.9141;9.7290;156.5309;;
73782.5982;(1.0000, 4.0000, 5.4000);67.9316;9.7640;158.4664;;
73782.6042;(1.0000, 4.0000, 5.4000);67.9384;9.7775;160.5008;;
73782.6157;(1.0000, 4.0000, 5.4000);67.9510;9.8027;161.5965;;
73782.6277;(1.0000, 4.0000, 5.4000);67.9607;9.8220;163.5150;;
73782.6337;(1.0000, 4.0000, 5.4000);67.9649;9.8303;163.9707;;
73782.6468;(1.0000, 4.0000, 5.4000);67.9725;9.8454;162.6391;;
73782.6588;(1.0000, 4.0000, 5.4000);67.9900;9.8687;162.2638;;
73782.6648;(1.0000, 4.0000, 5.4000);68.0017;9.8827;162.9280;;
73782.6783;(1.0000, 4.0000, 5.4000);68.0241;9.9458;159.8363;;
73782.6843;(1.0000, 4.0000, 5.4000);68.0324;9.9846;160.3340;;
73782.6968;(1.0000, 4.0000, 5.4000);68.0671;10.1026;161.0982;;
73782.7093;(1.0000, 4.0000, 5.4000);68.0940;10.2550;162.4396;;
73782.7153;(1.0000, 4.0000, 5.4000);68.1066;10.3683;161.1798;;
73782.7278;(1.0000, 4.0000, 5.4000);68.1265;10.6436;160.8985;;
73782.7353;(1.0000, 4.0000, 5.4000);68.1237;10.8118;161.5282;;
73782.7483;(1.0000, 4.0000, 5.4000);68.0433;11.3938;156.0913;;
73782.7548;(1.0000, 4.0000, 5.4000);67.9761;11.6890;157.5733;;
73782.7668;(1.0000, 4.0000, 5.4000);67.6923;12.5509;156.9022;;
73782.7733;(1.0000, 4.0000, 5.4000);67.4985;13.0368;157.8055;;
73782.7853;(1.0000, 4.0000, 5.4000);66.9493;14.2142;158.4878;;
73782.7974;(1.0000, 4.0000, 5.4000);66.2604;15.4807;159.9340;;
73782.8034;(1.0000, 4.0000, 5.4000);65.8631;16.1221;160.5034;;
73782.8154;(1.0000, 4.0000, 5.4000);65.0071;17.3581;161.5646;;
73782.8279;(1.0000, 4.0000, 5.4000);64.0704;18.4821;162.4508;;
73782.8349;(1.0000, 4.0000, 5.4000);63.5613;19.0058;162.7137;;
73782.8474;(1.0000, 4.0000, 5.4000);62.3009;20.0628;159.7769;;
73782.8534;(1.0000, 4.0000, 5.4000);61.6774;20.4908;160.2419;;
73782.8669;(1.0000, 4.0000, 5.4000);60.1221;21.2968;159.1152;;
73782.8799;(1.0000, 4.0000, 5.4000);58.0724;21.9462;158.2017;;
73782.8859;(1.0000, 4.0000, 5.4000);56.8496;22.2295;157.6170;;
73782.8989;(1.0000, 4.0000, 5.4000);54.0381;22.7258;157.8424;;
73782.9104;(1.0000, 4.0000, 5.4000);51.1455;23.1476;161.7103;;
73782.9169;(1.0000, 4.0000, 5.4000);49.0871;23.4279;160.2054;;
73782.9290;(1.0000, 4.0000, 5.4000);44.7021;24.0293;159.1938;;
73782.9355;(1.0000, 4.0000, 5.4000);42.4378;24.3463;159.9490;;
73782.9480;(1.0000, 4.0000, 5.4000);36.9560;25.1249;158.5345;;
73782.9545;(1.0000, 4.0000, 5.4000);34.2455;25.5203;159.3809;;
73782.9670;(1.0000, 4.0000, 5.4000);27.7027;26.5037;158.0547;;
73782.9740;(1.0000, 4.0000, 5.4000);24.5355;26.9981;159.0975;;
73782.9860;(1.0000, 4.0000, 5.4000);16.9712;28.1926;157.9456;;
73782.9980;(1.0000, 4.0000, 5.4000);9.5346;29.3366;159.6899;;
73783.0045;(1.0000, 4.0000, 5.4000);5.5884;29.9076;160.3170;;
73783.0170;(1.0000, 4.0000, 5.4000);356.8499;31.0991;158.7718;;
73783.0300;(1.0000, 4.0000, 5.4000);349.0607;32.0735;160.4191;;
73783.0365;(1.0000, 4.0000, 5.4000);344.6890;32.5750;158.9969;;
73783.0495;(1.0000, 4.0000, 5.4000);336.4021;33.4107;156.8240;;
73783.0565;(1.0000, 4.0000, 5.4000);332.9460;33.7073;158.1100;;
73783.0691;(1.0000, 4.0000, 5.4000);325.1855;34.2409;156.1277;;
73783.0756;(1.0000, 4.0000, 5.4000);321.7950;34.4107;156.6544;;
73783.0886;(1.0000, 4.0000, 5.4000);315.0383;34.6482;156.0401;;
73783.0946;(1.0000, 4.0000, 5.4000);311.9936;34.7264;156.0879;;
73783.1061;(1.0000, 4.0000, 5.4000);307.1184;34.8503;157.5843;;
73783.1176;(1.0000, 4.0000, 5.4000);303.4465;34.9424;160.3246;;
73783.1236;(1.0000, 4.0000, 5.4000);301.9353;34.9800;162.0023;;
73783.1361;(1.0000, 4.0000, 5.4000);299.0727;35.0505;161.6495;;
73783.1486;(1.0000, 4.0000, 5.4000);296.8038;35.1058;161.2305;;
73783.1551;(1.0000, 4.0000, 5.4000);295.9030;35.1275;161.8674;;
73783.1676;(1.0000, 4.0000, 5.4000);294.3055;35.1658;161.4764;;
73783.1771;(1.0000, 4.0000, 5.4000);293.2786;35.1901;167.7508;;
73783.1836;(1.0000, 4.0000, 5.4000);292.7568;35.2024;167.8002;;
73783.1951;(1.0000, 4.0000, 5.4000);291.8311;35.2240;166.2998;;
73783.2066;(1.0000, 4.0000, 5.4000);291.1563;35.2396;167.5779;;
73783.2182;(1.0000, 4.0000, 5.4000);290.6158;35.2519;168.7044;;
73783.2237;(1.0000, 4.0000, 5.4000);290.3991;35.2568;170.1243;;
73783.2357;(1.0000, 4.0000, 5.4000);290.0038;35.2657;170.5281;;
73783.2477;(1.0000, 4.0000, 5.4000);289.6719;35.2731;169.3239;;
73783.2537;(1.0000, 4.0000, 5.4000);289.5385;35.2760;169.5432;;
73783.2657;(1.0000, 4.0000, 5.4000);289.3050;35.2812;168.8852;;
73783.2762;(1.0000, 4.0000, 5.4000);289.1409;35.2847;172.6077;;
73783.2887;(1.0000, 4.0000, 5.4000);288.9898;35.2880;171.5185;;
73783.2952;(1.0000, 4.0000, 5.4000);288.9208;35.2894;169.5585;;
73783.3067;(1.0000, 4.0000, 5.4000);288.8108;35.2918;167.9256;;
73783.3187;(1.0000, 4.0000, 5.4000);288.7299;35.2935;168.8466;;
73783.3247;(1.0000, 4.0000, 5.4000);288.6936;35.2942;168.3039;;
73783.3367;(1.0000, 4.0000, 5.4000);288.6317;35.2955;166.8168;;
73783.3482;(1.0000, 4.0000, 5.4000);288.5863;35.2964;168.1246;;
73783.3543;(1.0000, 4.0000, 5.4000);288.5674;35.2968;168.9947;;
73783.3658;(1.0000, 4.0000, 5.4000);288.5335;35.2975;168.8691;;
73783.3778;(1.0000, 4.0000, 5.4000);288.5071;35.2980;169.4280;;
73783.3848;(1.0000, 4.0000, 5.4000);288.4846;35.2982;169.0446;;
73783.3973;(1.0000, 4.0000, 5.4000);288.3419;35.2986;165.6685;;
73783.4033;(1.0000, 4.0000, 5.4000);288.2730;35.3212;165.8771;;
73783.4153;(1.0000, 4.0000, 5.4000);288.1528;35.3933;165.2061;;
73783.4273;(1.0000, 4.0000, 5.4000);288.0714;35.4802;165.2959;;
73783.4338;(1.0000, 4.0000, 5.4000);288.0636;35.5168;165.1896;;
73783.4458;(1.0000, 4.0000, 5.4000);288.1252;35.5795;164.2223;;
73783.4588;(1.0000, 4.0000, 5.4000);288.3163;35.5816;163.1734;;
73783.4648;(1.0000, 4.0000, 5.4000);288.4543;35.5474;162.2575;;
73783.4763;(1.0000, 4.0000, 5.4000);288.7076;35.4416;163.2510;;
73783.4893;(1.0000, 4.0000, 5.4000);288.8983;35.3147;163.8543;;
73783.4959;(1.0000, 4.0000, 5.4000);288.9427;35.2326;163.7824;;
73783.5084;(1.0000, 4.0000, 5.4000);288.8096;35.0582;160.3646;;
73783.5144;(1.0000, 4.0000, 5.4000);288.6385;34.9964;161.2149;;
73783.5269;(1.0000, 4.0000, 5.4000);288.0437;34.9346;162.2804;;
73783.5394;(1.0000, 4.0000, 5.4000);287.0301;35.0665;161.6444;;
