***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "18-23-27-27-07-2017"
}
---SESSION HEADER---
Time; Position; Rotation.X; Rotation.Y; FPS; Input;
66207.9229;(1.0000, 4.0000, 5.4000);268.0000;19.8000;Infinity;;
66207.9550;(1.0000, 4.0000, 5.4000);268.0000;19.8000;326.6689;;
66207.9850;(1.0000, 4.0000, 5.4000);268.0000;19.8000;169.1560;;
66208.0183;(1.0000, 4.0000, 5.4000);268.0000;19.8000;120.0419;;
66208.0492;(1.0000, 4.0000, 5.4000);268.0000;19.8000;92.2796;;
66208.0800;(1.0000, 4.0000, 5.4000);268.0000;19.8000;77.8068;;
66208.1119;(1.0000, 4.0000, 5.4000);268.0000;19.8000;68.3223;;
66208.1440;(1.0000, 4.0000, 5.4000);268.0000;19.8000;61.2990;;
66208.1745;(1.0000, 4.0000, 5.4000);268.0000;19.8000;55.8289;;
66208.2074;(1.0000, 4.0000, 5.4000);268.0000;19.8000;52.1402;;
66208.2374;(1.0000, 4.0000, 5.4000);268.0000;19.8000;48.6947;;
66208.2698;(1.0000, 4.0000, 5.4000);268.0000;19.8000;46.5031;;
66208.3019;(1.0000, 4.0000, 5.4000);268.0000;19.8000;44.2584;;
66208.3322;(1.0000, 4.0000, 5.4000);268.0000;19.8000;42.5061;;
66208.3649;(1.0000, 4.0000, 5.4000);268.0000;19.8000;41.3012;;
66208.3982;(1.0000, 4.0000, 5.4000);268.0000;19.8000;39.9062;;
66208.4286;(1.0000, 4.0000, 5.4000);269.5081;19.9214;38.6038;;
66208.4614;(1.0000, 4.0000, 5.4000);276.2417;21.1346;37.9049;;
66208.4664;(1.0000, 4.0000, 5.4000);276.2417;21.1346;37.9049;;
66208.4921;(1.0000, 4.0000, 5.4000);286.9419;23.8229;37.0634;;
66208.5272;(1.0000, 4.0000, 5.4000);295.6613;26.8035;36.5285;;
66208.5619;(1.0000, 4.0000, 5.4000);300.0026;28.2577;35.5695;;
66208.5987;(1.0000, 4.0000, 5.4000);301.6409;28.7954;34.7141;;
66208.6373;(1.0000, 4.0000, 5.4000);302.2722;28.9981;33.8031;;
66208.6724;(1.0000, 4.0000, 5.4000);302.5007;29.0698;32.7902;;
66208.7075;(1.0000, 4.0000, 5.4000);302.5638;29.0892;32.2829;;
66208.7421;(1.0000, 4.0000, 5.4000);302.5866;29.0961;31.8630;;
66208.7777;(1.0000, 4.0000, 5.4000);303.5296;29.0986;31.5382;;
66208.8053;(1.0000, 4.0000, 5.4000);309.4884;28.7176;31.2187;;
66208.8369;(1.0000, 4.0000, 5.4000);318.0418;28.2467;31.6069;;
66208.8704;(1.0000, 4.0000, 5.4000);331.4335;28.9170;31.5871;;
66208.9073;(1.0000, 4.0000, 5.4000);343.6215;30.9123;31.4308;;
66208.9429;(1.0000, 4.0000, 5.4000);348.9981;31.7703;30.9730;;
66208.9786;(1.0000, 4.0000, 5.4000);350.8069;32.0516;30.6336;;
66209.0178;(1.0000, 4.0000, 5.4000);351.4506;32.1491;30.3209;;
66209.0518;(1.0000, 4.0000, 5.4000);351.6924;32.1848;29.8270;;
66209.0877;(1.0000, 4.0000, 5.4000);351.7598;32.1945;29.7143;;
66209.1203;(1.0000, 4.0000, 5.4000);355.7808;32.4596;29.5263;;
66209.1518;(1.0000, 4.0000, 5.4000);6.1576;34.1556;29.6438;;
66209.1838;(1.0000, 4.0000, 5.4000);17.4379;37.3156;29.8489;;
66209.2190;(1.0000, 4.0000, 5.4000);28.7476;41.1812;29.9736;;
66209.2548;(1.0000, 4.0000, 5.4000);38.2151;43.9777;29.8332;;
66209.2901;(1.0000, 4.0000, 5.4000);41.8311;44.9911;29.6168;;
66209.3271;(1.0000, 4.0000, 5.4000);43.0931;45.3266;29.4560;;
66209.3637;(1.0000, 4.0000, 5.4000);43.5602;45.4443;29.2182;;
66209.3980;(1.0000, 4.0000, 5.4000);43.7176;45.4819;29.0290;;
66209.4340;(1.0000, 4.0000, 5.4000);43.7684;45.4934;29.0460;;
66209.4650;(1.0000, 4.0000, 5.4000);44.4990;46.0294;28.9251;;
66209.4977;(1.0000, 4.0000, 5.4000);51.5114;51.1222;29.1920;;
66209.5283;(1.0000, 4.0000, 5.4000);59.8626;56.8154;29.3058;;
66209.5627;(1.0000, 4.0000, 5.4000);66.0693;61.0390;29.6281;;
66209.5974;(1.0000, 4.0000, 5.4000);71.6394;65.0322;29.5833;;
66209.6317;(1.0000, 4.0000, 5.4000);74.0469;67.2115;29.5098;;
66209.6668;(1.0000, 4.0000, 5.4000);74.9453;67.9319;29.4699;;
66209.7014;(1.0000, 4.0000, 5.4000);75.2904;68.1769;29.4148;;
66209.7321;(1.0000, 4.0000, 5.4000);76.3148;67.9212;29.2977;;
66209.7624;(1.0000, 4.0000, 5.4000);78.7856;66.8393;29.6037;;
66209.7916;(1.0000, 4.0000, 5.4000);84.6407;64.9399;29.9067;;
66209.8232;(1.0000, 4.0000, 5.4000);89.6356;63.3316;30.2782;;
66209.8538;(1.0000, 4.0000, 5.4000);92.1514;62.5913;30.4367;;
66209.8880;(1.0000, 4.0000, 5.4000);93.2354;62.2994;30.6185;;
66209.9191;(1.0000, 4.0000, 5.4000);93.7628;62.1706;30.5036;;
66209.9524;(1.0000, 4.0000, 5.4000);93.9508;62.1286;30.6726;;
66209.9818;(1.0000, 4.0000, 5.4000);94.0406;62.1103;30.5936;;
66210.0114;(1.0000, 4.0000, 5.4000);94.0721;62.1045;30.9036;;
66210.0388;(1.0000, 4.0000, 5.4000);94.0869;62.1019;31.1796;;
66210.0679;(1.0000, 4.0000, 5.4000);94.0933;62.1009;31.6512;;
