Time;Position;Rotation.X;Rotation.Y;FPS;Input;Position.x;Position.y;Position.z;distance;cumulative_distance;angle_diff
66207.9229;(1.0000, 4.0000, 5.4000);268;19.8;Inf;;1;4;5.4;0;0;0
66207.955;(1.0000, 4.0000, 5.4000);268;19.8;326.6689;;1;4;5.4;0;0;0
66207.985;(1.0000, 4.0000, 5.4000);268;19.8;169.156;;1;4;5.4;0;0;0
66208.0183;(1.0000, 4.0000, 5.4000);268;19.8;120.0419;;1;4;5.4;0;0;0
66208.0492;(1.0000, 4.0000, 5.4000);268;19.8;92.2796;;1;4;5.4;0;0;0
66208.08;(1.0000, 4.0000, 5.4000);268;19.8;77.8068;;1;4;5.4;0;0;0
66208.1119;(1.0000, 4.0000, 5.4000);268;19.8;68.3223;;1;4;5.4;0;0;0
66208.144;(1.0000, 4.0000, 5.4000);268;19.8;61.299;;1;4;5.4;0;0;0
66208.1745;(1.0000, 4.0000, 5.4000);268;19.8;55.8289;;1;4;5.4;0;0;0
66208.2074;(1.0000, 4.0000, 5.4000);268;19.8;52.1402;;1;4;5.4;0;0;0
66208.2374;(1.0000, 4.0000, 5.4000);268;19.8;48.6947;;1;4;5.4;0;0;0
66208.2698;(1.0000, 4.0000, 5.4000);268;19.8;46.5031;;1;4;5.4;0;0;0
66208.3019;(1.0000, 4.0000, 5.4000);268;19.8;44.2584;;1;4;5.4;0;0;0
66208.3322;(1.0000, 4.0000, 5.4000);268;19.8;42.5061;;1;4;5.4;0;0;0
66208.3649;(1.0000, 4.0000, 5.4000);268;19.8;41.3012;;1;4;5.4;0;0;0
66208.3982;(1.0000, 4.0000, 5.4000);268;19.8;39.9062;;1;4;5.4;0;0;0
66208.4286;(1.0000, 4.0000, 5.4000);269.5081;19.9214;38.6038;;1;4;5.4;0;0;1.50810000000001
66208.4614;(1.0000, 4.0000, 5.4000);276.2417;21.1346;37.9049;;1;4;5.4;0;0;6.73359999999997
66208.4664;(1.0000, 4.0000, 5.4000);276.2417;21.1346;37.9049;;1;4;5.4;0;0;0
66208.4921;(1.0000, 4.0000, 5.4000);286.9419;23.8229;37.0634;;1;4;5.4;0;0;10.7002
66208.5272;(1.0000, 4.0000, 5.4000);295.6613;26.8035;36.5285;;1;4;5.4;0;0;8.71940000000001
66208.5619;(1.0000, 4.0000, 5.4000);300.0026;28.2577;35.5695;;1;4;5.4;0;0;4.34129999999999
66208.5987;(1.0000, 4.0000, 5.4000);301.6409;28.7954;34.7141;;1;4;5.4;0;0;1.63830000000002
66208.6373;(1.0000, 4.0000, 5.4000);302.2722;28.9981;33.8031;;1;4;5.4;0;0;0.63130000000001
66208.6724;(1.0000, 4.0000, 5.4000);302.5007;29.0698;32.7902;;1;4;5.4;0;0;0.228499999999997
66208.7075;(1.0000, 4.0000, 5.4000);302.5638;29.0892;32.2829;;1;4;5.4;0;0;0.0631000000000199
66208.7421;(1.0000, 4.0000, 5.4000);302.5866;29.0961;31.863;;1;4;5.4;0;0;0.0227999999999611
66208.7777;(1.0000, 4.0000, 5.4000);303.5296;29.0986;31.5382;;1;4;5.4;0;0;0.94300000000004
66208.8053;(1.0000, 4.0000, 5.4000);309.4884;28.7176;31.2187;;1;4;5.4;0;0;5.9588
66208.8369;(1.0000, 4.0000, 5.4000);318.0418;28.2467;31.6069;;1;4;5.4;0;0;8.55340000000001
66208.8704;(1.0000, 4.0000, 5.4000);331.4335;28.917;31.5871;;1;4;5.4;0;0;13.3917
66208.9073;(1.0000, 4.0000, 5.4000);343.6215;30.9123;31.4308;;1;4;5.4;0;0;12.188
66208.9429;(1.0000, 4.0000, 5.4000);348.9981;31.7703;30.973;;1;4;5.4;0;0;5.3766
66208.9786;(1.0000, 4.0000, 5.4000);350.8069;32.0516;30.6336;;1;4;5.4;0;0;1.80879999999996
66209.0178;(1.0000, 4.0000, 5.4000);351.4506;32.1491;30.3209;;1;4;5.4;0;0;0.643700000000024
66209.0518;(1.0000, 4.0000, 5.4000);351.6924;32.1848;29.827;;1;4;5.4;0;0;0.241800000000012
66209.0877;(1.0000, 4.0000, 5.4000);351.7598;32.1945;29.7143;;1;4;5.4;0;0;0.0673999999999637
66209.1203;(1.0000, 4.0000, 5.4000);355.7808;32.4596;29.5263;;1;4;5.4;0;0;4.02100000000002
66209.1518;(1.0000, 4.0000, 5.4000);6.1576;34.1556;29.6438;;1;4;5.4;0;0;10.3768
66209.1838;(1.0000, 4.0000, 5.4000);17.4379;37.3156;29.8489;;1;4;5.4;0;0;11.2803
66209.219;(1.0000, 4.0000, 5.4000);28.7476;41.1812;29.9736;;1;4;5.4;0;0;11.3097
66209.2548;(1.0000, 4.0000, 5.4000);38.2151;43.9777;29.8332;;1;4;5.4;0;0;9.4675
66209.2901;(1.0000, 4.0000, 5.4000);41.8311;44.9911;29.6168;;1;4;5.4;0;0;3.61599999999999
66209.3271;(1.0000, 4.0000, 5.4000);43.0931;45.3266;29.456;;1;4;5.4;0;0;1.262
66209.3637;(1.0000, 4.0000, 5.4000);43.5602;45.4443;29.2182;;1;4;5.4;0;0;0.467100000000016
66209.398;(1.0000, 4.0000, 5.4000);43.7176;45.4819;29.029;;1;4;5.4;0;0;0.157399999999996
66209.434;(1.0000, 4.0000, 5.4000);43.7684;45.4934;29.046;;1;4;5.4;0;0;0.0508000000000095
66209.465;(1.0000, 4.0000, 5.4000);44.499;46.0294;28.9251;;1;4;5.4;0;0;0.73060000000001
66209.4977;(1.0000, 4.0000, 5.4000);51.5114;51.1222;29.192;;1;4;5.4;0;0;7.01240000000001
66209.5283;(1.0000, 4.0000, 5.4000);59.8626;56.8154;29.3058;;1;4;5.4;0;0;8.35120000000001
66209.5627;(1.0000, 4.0000, 5.4000);66.0693;61.039;29.6281;;1;4;5.4;0;0;6.20670000000001
66209.5974;(1.0000, 4.0000, 5.4000);71.6394;65.0322;29.5833;;1;4;5.4;0;0;5.5701
66209.6317;(1.0000, 4.0000, 5.4000);74.0469;67.2115;29.5098;;1;4;5.4;0;0;2.4075
66209.6668;(1.0000, 4.0000, 5.4000);74.9453;67.9319;29.4699;;1;4;5.4;0;0;0.898400000000009
66209.7014;(1.0000, 4.0000, 5.4000);75.2904;68.1769;29.4148;;1;4;5.4;0;0;0.345100000000002
66209.7321;(1.0000, 4.0000, 5.4000);76.3148;67.9212;29.2977;;1;4;5.4;0;0;1.02440000000001
66209.7624;(1.0000, 4.0000, 5.4000);78.7856;66.8393;29.6037;;1;4;5.4;0;0;2.4708
66209.7916;(1.0000, 4.0000, 5.4000);84.6407;64.9399;29.9067;;1;4;5.4;0;0;5.85509999999999
66209.8232;(1.0000, 4.0000, 5.4000);89.6356;63.3316;30.2782;;1;4;5.4;0;0;4.9949
66209.8538;(1.0000, 4.0000, 5.4000);92.1514;62.5913;30.4367;;1;4;5.4;0;0;2.51580000000001
66209.888;(1.0000, 4.0000, 5.4000);93.2354;62.2994;30.6185;;1;4;5.4;0;0;1.084
66209.9191;(1.0000, 4.0000, 5.4000);93.7628;62.1706;30.5036;;1;4;5.4;0;0;0.5274
66209.9524;(1.0000, 4.0000, 5.4000);93.9508;62.1286;30.6726;;1;4;5.4;0;0;0.187999999999988
66209.9818;(1.0000, 4.0000, 5.4000);94.0406;62.1103;30.5936;;1;4;5.4;0;0;0.0897999999999968
66210.0114;(1.0000, 4.0000, 5.4000);94.0721;62.1045;30.9036;;1;4;5.4;0;0;0.0314999999999941
66210.0388;(1.0000, 4.0000, 5.4000);94.0869;62.1019;31.1796;;1;4;5.4;0;0;0.0147999999999797
66210.0679;(1.0000, 4.0000, 5.4000);94.0933;62.1009;31.6512;;1;4;5.4;0;0;0.00639999999998508
66210.0964;(1.0000, 4.0000, 5.4000);94.0969;62.1004;31.8916;;1;4;5.4;0;0;0.00360000000000582
66210.126;(1.0000, 4.0000, 5.4000);94.0985;62.1002;32.1699;;1;4;5.4;0;0;0.00159999999999627
66210.1532;(1.0000, 4.0000, 5.4000);95.1701;61.5849;32.3093;;1;4;5.4;0;0;1.07159999999999
66210.1819;(1.0000, 4.0000, 5.4000);98.8255;59.8576;32.6914;;1;4;5.4;0;0;3.65539999999999
66210.2106;(1.0000, 4.0000, 5.4000);107.3516;56.6057;32.9448;;1;4;5.4;0;0;8.52609999999999
66210.2397;(1.0000, 4.0000, 5.4000);116.3941;53.04;33.1334;;1;4;5.4;0;0;9.04249999999999
66210.2715;(1.0000, 4.0000, 5.4000);126.7573;50.5485;33.2401;;1;4;5.4;0;0;10.3632
66210.3054;(1.0000, 4.0000, 5.4000);133.6825;49.1679;33.0929;;1;4;5.4;0;0;6.92520000000002
66210.341;(1.0000, 4.0000, 5.4000);136.9785;48.5474;32.6375;;1;4;5.4;0;0;3.29599999999999
66210.3763;(1.0000, 4.0000, 5.4000);138.2604;48.3199;32.1559;;1;4;5.4;0;0;1.28190000000001
66210.4102;(1.0000, 4.0000, 5.4000);138.7328;48.2408;31.7083;;1;4;5.4;0;0;0.472399999999993
66210.4448;(1.0000, 4.0000, 5.4000);138.8975;48.2148;31.4378;;1;4;5.4;0;0;0.164700000000011
66210.4783;(1.0000, 4.0000, 5.4000);139.3352;48.1408;31.1631;;1;4;5.4;0;0;0.437699999999978
66210.5099;(1.0000, 4.0000, 5.4000);144.4134;45.9512;31.0434;;1;4;5.4;0;0;5.07820000000001
66210.5428;(1.0000, 4.0000, 5.4000);154.1547;41.5662;31.114;;1;4;5.4;0;0;9.7413
66210.5727;(1.0000, 4.0000, 5.4000);163.2406;35.0975;31.0419;;1;4;5.4;0;0;9.08590000000001
66210.6093;(1.0000, 4.0000, 5.4000);168.7813;31.157;31.2566;;1;4;5.4;0;0;5.54069999999999
